0,3,1.8333
0.1,2.9833,1.8329
0.2,2.9667,1.8337
0.3,2.9501,1.8351
0.4,2.9335,1.8367
0.5,2.9169,1.8386
0.6,2.9004,1.8406
0.7,2.8839,1.8429
0.8,2.8674,1.8455
0.9,2.851,1.8483
1,2.8346,1.8513
1.1,2.8183,1.8546
1.2,2.802,1.8581
1.3,2.7858,1.862
1.4,2.7696,1.8661
1.5,2.7535,1.8705
1.6,2.7376,1.8753
1.7,2.7217,1.8804
1.8,2.7059,1.8858
1.9,2.6903,1.8916
2,2.6748,1.8978
2.1,2.6595,1.9043
2.2,2.6444,1.9113
2.3,2.6294,1.9186
2.4,2.6147,1.9265
2.5,2.6002,1.9347
2.6,2.586,1.9434
2.7,2.5721,1.9527
2.8,2.5586,1.9624
2.9,2.5454,1.9726
3,2.5365,1.9871
3.1,2.5289,2.0031
3.2,2.5244,2.0222
3.3,2.5215,2.0428
3.4,2.5211,2.0659
3.5,2.5223,2.0904
3.6,2.5257,2.1169
3.7,2.5307,2.1448
3.8,2.5376,2.1741
3.9,2.5461,2.2047
4,2.5564,2.2364
4.1,2.5681,2.2691
4.2,2.5815,2.3028
4.3,2.5964,2.3372
4.4,2.6127,2.3722
4.5,2.6304,2.4078
4.6,2.6495,2.4439
4.7,2.6699,2.4803
4.8,2.6915,2.517
4.9,2.7142,2.554
5,2.7379,2.591
5.1,2.7627,2.6281
5.2,2.7884,2.6653
5.3,2.8149,2.7025
5.4,2.8422,2.7396
5.5,2.8702,2.7767
5.6,2.8988,2.8137
5.7,2.9281,2.8506
5.8,2.9579,2.8874
5.9,2.9881,2.9241
6,3.0188,2.9607
6.1,3.05,2.9972
6.2,3.0814,3.0336
6.3,3.1124,3.0726
6.4,3.1352,3.1169
6.5,3.1532,3.1633
6.6,3.1677,3.211
6.7,3.1799,3.2595
6.8,3.1902,3.3083
6.9,3.1993,3.3574
7,3.2073,3.4067
7.1,3.2144,3.4562
7.2,3.2207,3.5058
7.3,3.2263,3.5555
7.4,3.2312,3.6052
7.5,3.2355,3.655
7.6,3.2392,3.7049
7.7,3.2423,3.7548
7.8,3.2449,3.8047
7.9,3.247,3.8546
8,3.2486,3.9046
8.1,3.2497,3.9546
8.2,3.2503,4.0046
8.3,3.2505,4.0546
8.4,3.2502,4.1046
8.5,3.2496,4.1546
8.6,3.2485,4.2046
8.7,3.2471,4.2545
8.8,3.2454,4.3045
8.9,3.2434,4.3544
9,3.2412,4.4044
9.1,3.2388,4.4543
9.2,3.2363,4.5042
9.3,3.2337,4.5541
9.4,3.2313,4.604
9.5,3.2292,4.6539
9.6,3.2277,4.7039
9.7,3.2272,4.7538
9.8,3.2284,4.8037
9.9,3.2327,4.8534
10,3.2422,4.9024
10.1,3.2607,4.9488
10.2,3.2926,4.9865
10.3,3.3308,5.0162
10.4,3.3719,5.0442
10.5,3.4136,5.071
10.6,3.4555,5.0979
10.7,3.4971,5.1248
10.8,3.5385,5.1521
10.9,3.5797,5.1796
11,3.6207,5.2074
11.1,3.6615,5.2354
11.2,3.7021,5.2637
11.3,3.7425,5.2921
11.4,3.7828,5.3208
11.5,3.823,5.3496
11.6,3.863,5.3785
11.7,3.9029,5.4076
11.8,3.9427,5.4368
11.9,3.9825,5.4661
12,4.0221,5.4956
12.1,4.0617,5.5251
12.2,4.1012,5.5547
12.3,4.1406,5.5843
12.4,4.18,5.6141
12.5,4.2193,5.6438
12.6,4.2586,5.6737
12.7,4.2979,5.7036
12.8,4.3371,5.7335
12.9,4.3763,5.7635
13,4.4154,5.7935
13.1,4.4546,5.8236
13.2,4.4936,5.8536
13.3,4.5326,5.8836
13.4,4.5715,5.9136
13.5,4.6104,5.9436
13.6,4.6492,5.9736
13.7,4.6879,6.0036
13.8,4.7266,6.0336
13.9,4.7653,6.0636
14,4.804,6.0935
14.1,4.8426,6.1235
14.2,4.8812,6.1534
14.3,4.9197,6.1834
14.4,4.9583,6.2134
14.5,4.9968,6.2433
14.6,5.0353,6.2733
14.7,5.0738,6.3032
14.8,5.1123,6.3331
14.9,5.1507,6.3631
15,5.1892,6.393
15.1,5.2276,6.423
15.2,5.2661,6.4529
15.3,5.3045,6.4828
15.4,5.3429,6.5128
15.5,5.3813,6.5427
15.6,5.4197,6.5726
15.7,5.4581,6.6026
15.8,5.4965,6.6325
15.9,5.5349,6.6624
16,5.5733,6.6923
16.1,5.6116,6.7223
16.2,5.65,6.7523
16.3,5.6884,6.7828
16.4,5.7254,6.8152
16.5,5.7576,6.8507
16.6,5.7872,6.8869
16.7,5.8159,6.9234
16.8,5.8442,6.96
16.9,5.8724,6.9965
17,5.9007,7.0331
17.1,5.9292,7.0696
17.2,5.958,7.1061
17.3,5.9871,7.1425
17.4,6.0167,7.1788
17.5,6.047,7.2149
17.6,6.0783,7.2507
17.7,6.1109,7.286
17.8,6.1453,7.3203
17.9,6.182,7.353
18,6.2211,7.3831
18.1,6.2616,7.4109
18.2,6.3025,7.4378
18.3,6.3434,7.465
18.4,6.3838,7.4929
18.5,6.4241,7.5212
18.6,6.4644,7.5494
18.7,6.5051,7.5768
18.8,6.5463,7.6031
18.9,6.5878,7.6285
19,6.6295,7.6535
19.1,6.6712,7.6784
19.2,6.713,7.7031
19.3,6.7548,7.7277
19.4,6.7966,7.7522
19.5,6.8384,7.7767
19.6,6.8801,7.8015
19.7,6.9217,7.8268
19.8,6.9631,7.8525
19.9,7.0044,7.8786
20,7.0456,7.905
20.1,7.0866,7.9318
20.2,7.1275,7.9589
20.3,7.1682,7.9862
20.4,7.2088,8.0138
20.5,7.2493,8.0416
20.6,7.2897,8.0696
20.7,7.33,8.0979
20.8,7.3702,8.1263
20.9,7.4103,8.1549
21,7.4503,8.1836
21.1,7.4902,8.2124
21.2,7.5301,8.2414
21.3,7.5698,8.2705
21.4,7.6095,8.2997
21.5,7.6491,8.329
21.6,7.6887,8.3584
21.7,7.7282,8.3879
21.8,7.7677,8.4174
21.9,7.8071,8.4471
22,7.8465,8.4767
22.1,7.8858,8.5065
22.2,7.9251,8.5363
22.3,7.9644,8.5661
22.4,8.0036,8.596
22.5,8.0428,8.6259
22.6,8.082,8.6559
22.7,8.1211,8.6859
22.8,8.1602,8.7159
22.9,8.1993,8.7459
23,8.2384,8.776
23.1,8.2775,8.8061
23.2,8.3165,8.8362
23.3,8.3556,8.8664
23.4,8.3946,8.8965
23.5,8.4336,8.9267
23.6,8.4726,8.9569
23.7,8.5116,8.9871
23.8,8.5506,9.0173
23.9,8.5895,9.0476
24,8.6285,9.0778
24.1,8.6675,9.108
24.2,8.7064,9.1383
24.3,8.7453,9.1686
24.4,8.7843,9.1988
24.5,8.8232,9.2291
24.6,8.8621,9.2594
24.7,8.9011,9.2897
24.8,8.94,9.32
24.9,8.9789,9.3503
25,9.0178,9.3806
25.1,9.0567,9.4109
25.2,9.0956,9.4412
25.3,9.1345,9.4715
25.4,9.1734,9.5018
25.5,9.2122,9.5321
25.6,9.251,9.5623
25.7,9.2897,9.5925
25.8,9.3284,9.6226
25.9,9.3671,9.6528
26,9.4057,9.6829
26.1,9.4443,9.713
26.2,9.4829,9.7431
26.3,9.5214,9.7731
26.4,9.5599,9.8032
26.5,9.5984,9.8332
26.6,9.6369,9.8632
26.7,9.6754,9.8933
26.8,9.7139,9.9233
26.9,9.7523,9.9533
27,9.7908,9.9832
27.1,9.8292,10.013
27.2,9.8676,10.043
27.3,9.906,10.073
27.4,9.9445,10.103
27.5,9.9829,10.133
27.6,10.021,10.163
27.7,10.059,10.193
27.8,10.096,10.222
27.9,10.133,10.25
28,10.168,10.278
28.1,10.202,10.304
28.2,10.235,10.33
28.3,10.267,10.355
28.4,10.298,10.379
28.5,10.327,10.401
28.6,10.354,10.423
28.7,10.381,10.443
28.8,10.406,10.463
28.9,10.429,10.481
29,10.451,10.498
29.1,10.472,10.515
29.2,10.491,10.53
29.3,10.509,10.544
29.4,10.526,10.557
29.5,10.542,10.569
